bbl,address,building_area_sqft,year_built,year_alter1,year_alter2,last_known_alteration,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_date,document_amount,finance_amount_per_gross_sqft,rentable_sqft,finance_amount_per_rentable_sqft,document_crfn,property_type,street_address
1010350017.00000000,315 WEST 44 STREET,181021,1931,1990,2017,2017,PLANT REALTY LLC,,40.7592249,-73.9897919,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1035/17,True,DEED,2024-09-19T00:00:00.000,40500000,223.73,229896.67,176.17,2024000248473,CR,315 WEST 44 STREET
1010200046.00000000,1601 BROADWAY,843131,1987,2005,0,2005,EGL 1605 OWNER LLC,,40.7606188,-73.9850774,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1020/46,True,DEED,2024-07-23T00:00:00.000,53285772,63.2,1070776.37,49.76,2024000212565,OF,1601 BROADWAY
1010230018.00000000,1651 BROADWAY,325216,1929,2012,2012,2012,"M&C NEW YORK TIMES SQUARE EAT II, LLC",,40.7625179,-73.9837485,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1023/18,True,MTGE,2018-03-09T00:00:00.000,15047295.83,46.27,413024.32,36.43,2018000088075,CR,1651 BROADWAY
1010480033.00000000,4 COLUMBUS CIRCLE,102720,1987,0,0,0,"GLL BVK COLUMBUS CIRCLE, LLC",,40.7673568,-73.9829062,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1048/33,True,MTGE,2011-11-21T00:00:00.000,5620539.77,54.72,130454.4,43.08,2011000446215,OF,4 COLUMBUS CIRCLE
1010350001.00000000,630 9 AVENUE,236280,1929,2016,0,2016,"GSH ASSOCIATES, LLC",,40.7599140,-73.9911635,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1035/1,True,MTGE,2017-09-28T00:00:00.000,46254123.57,195.76,300075.6,154.14,2017000398632,OF,630 9 AVENUE
1006970042.00000000,508 WEST 26 STREET,146416,1927,2004,0,2004,WEST CHELSEA BUILDING LLC,,40.7497532,-74.0037499,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/697/42,True,MTGE,2010-03-24T00:00:00.000,348209.25,2.38,185948.32,1.87,2010000111059,CR,508 WEST 26 STREET
1006700070.00000000,231 11 AVENUE,217350,1913,2014,0,2014,BULGROUP COLORADO LLC,,40.7509333,-74.0064497,6,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/670/70,True,MTGE,2015-10-13T00:00:00.000,3499999,16.1,276034.5,12.68,2015000386325,CR,231 11 AVENUE
1008560058.00000000,60 MADISON AVENUE,169360,1910,2015,2017,2017,MADISON SIXTY OWNER LLC,,40.7432227,-73.9866294,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/856/58,True,MTGE,2016-09-12T00:00:00.000,33500000,197.8,215087.2,155.75,2016000334473,CR,60 MADISON AVENUE
1008290068.00000000,44 WEST 28 STREET,141830,1911,1990,0,1990,"44 W. 28 PENN PLAZA PROPERTIES, LLC",,40.7455863,-73.9900249,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/829/68,True,MTGE,2019-08-27T00:00:00.000,11129816.95,78.47,180124.1,61.79,2019000285811,CR,44 WEST 28 STREET
1008230024.00000000,19 WEST 21 STREET,113284,1908,0,0,0,FIFTH PARTNERS LLC,,40.7410302,-73.9917650,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/823/24,True,MTGE,2016-10-13T00:00:00.000,18318020.11,161.7,143870.68,127.32,2016000378643,OF,19 WEST 21 STREET
1008120019.00000000,135 WEST 36 STREET,108214,1925,0,0,0,HOWARD WAREHOUSE INC.,,40.7519073,-73.9883349,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/19,True,MTGE,2018-10-31T00:00:00.000,7700000,71.16,137431.78,56.03,2018000368474,OF,135 WEST 36 STREET
1008120016.00000000,141 WEST 36 STREET,165000,1911,1965,0,1965,"BRAUSE, JACK",,40.7520144,-73.9885045,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/16,False,,,,0.0,0.0,0.0,,,141 WEST 36 STREET
1007840060.00000000,224 WEST 35 STREET,143448,1924,0,0,0,PROFILE ENTERPRISES 2 LLC,,40.7519021,-73.9912945,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/60,True,MTGE,2019-06-12T00:00:00.000,25000000.00,174.28,182178.96,137.23,2019000191569,CR,224 WEST 35 STREET
1007850029.00000000,213 WEST 35 STREET,163681,1921,0,0,0,"213 WEST 35TH ST. ASSOCIATES, L.P.",,40.7521353,-73.9906809,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/29,True,MTGE,2019-01-24T00:00:00.000,15000000.00,91.64,207874.87,72.16,2019000033507,OF,213 WEST 35 STREET
1008110056.00000000,142 WEST 36 STREET,101203,1922,0,0,0,"142 WEST 36TH STREET PROPERTY, INC.",,40.7516796,-73.9888366,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/56,True,DEED,2019-05-30T00:00:00.000,81500000.00,805.31,128527.81,634.1,2019000185970,CR,142 WEST 36 STREET
1007840041.00000000,450 7 AVENUE,491253,1930,1987,0,1987,450 7TH AVE ASSCTS,P,40.7514629,-73.9907531,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/41,True,MTGE,,2000000,4.07,623891.31,3.21,,PA,450 7 AVENUE
1007870059.00000000,230 WEST 38 STREET,137887,1923,1987,0,1987,JLJ BRICKEN LLC,,40.7538014,-73.9900273,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/59,True,MTGE,2013-12-05T00:00:00.000,25000000,181.31,175116.49,142.76,2013000520932,OF,230 WEST 38 STREET
1007870001.00000000,540 8 AVENUE,225858,1925,0,0,0,265 W 37 OWNER LLC,,40.7541446,-73.9916262,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/1,True,MTGE,2021-01-14T00:00:00.000,20000000,88.55,286839.66,69.73,2021000060008,OF,540 8 AVENUE
1007870084.00000000,554 8 AVENUE,255696,1924,1972,0,1972,270 REALTY LLC,,40.7543696,-73.9913952,6,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/84,True,MTGE,2023-08-18T00:00:00.000,20000000,78.22,324733.92,61.59,2023000219860,IB,554 8 AVENUE
1007880019.00000000,247 WEST 38 STREET,130010,1924,1967,0,1967,247 WEST 38 LLC,,40.7544354,-73.9903918,6,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/19,True,MTGE,2018-05-25T00:00:00.000,2000000,15.38,165112.7,12.11,2018000181384,CR,247 WEST 38 STREET
1007880011.00000000,263 WEST 38 STREET,146377,1925,0,0,0,263 WEST 38TH STREET ASSOCIATES LLC,,40.7546331,-73.9908574,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/11,True,MTGE,2020-03-12T00:00:00.000,7000000.00,47.82,185898.79,37.65,2020000099875,CR,263 WEST 38 STREET
1007880073.00000000,250 WEST 39 STREET,181921,1926,0,0,0,"250 WEST 39TH STREET, INC.",,40.7547236,-73.9903232,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/73,True,DEED,2015-12-01T00:00:00.000,123500000,678.87,231039.67,534.54,2015000450989,CR,250 WEST 39 STREET
1007890009.00000000,257 WEST 39 STREET,177975,1925,0,0,0,BERDAR EQUITIES LLC,,40.7552369,-73.9903736,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/9,True,MTGE,2008-09-08T00:00:00.000,8000000,44.95,226028.25,35.39,2008000371014,AP,257 WEST 39 STREET
1007880078.00000000,260 WEST 39 STREET,154516,1926,0,0,0,WEST 39-260 REALTY,,40.7548746,-73.9906805,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/78,True,MTGE,2019-08-20T00:00:00.000,13564118.42,87.78,196235.32,69.12,2019000277556,CR,260 WEST 39 STREET
1007890014.00000000,251 WEST 39 STREET,108025,1925,0,0,0,"UNG 1 REALTY, LLC",,40.7551024,-73.9900524,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/14,True,MTGE,2020-09-11T00:00:00.000,500000.00,4.63,137191.75,3.64,2020000270414,CR,251 WEST 39 STREET
1007890021.00000000,231 WEST 39 STREET,218558,1911,1989,0,1989,"JORDAN SCHUR PROPERTIES,",,40.7549239,-73.9896337,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/21,False,,,,0.0,0.0,0.0,,,231 WEST 39 STREET
1007890062.00000000,240 WEST 40 STREET,137199,1923,0,0,0,240 W 40 LLC,,40.7552149,-73.9895687,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/62,True,MTGE,2018-07-11T00:00:00.000,6595590.61,48.07,174242.73,37.85,2018000233663,CR,240 WEST 40 STREET
1007890036.00000000,550 7 AVENUE,225981,1924,0,0,0,"550 ADLER REALTY RL, LLC",,40.7544600,-73.9885149,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/36,True,MTGE,2021-12-29T00:00:00.000,15009000.00,66.42,286995.87,52.3,2022000021745,OF,550 7 AVENUE
1008140001.00000000,525 7 AVENUE,411074,1925,0,0,0,525 DELAWARE LLC,,40.7535020,-73.9881938,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/814/1,True,MTGE,2007-01-18T00:00:00.000,101039387.96,245.79,522063.98,193.54,2007000079323,OF,525 7 AVENUE
1007890052.00000000,218 WEST 40 STREET,146486,1923,1985,0,1985,218 W 40TH ASSOCIATES LLC,,40.7549980,-73.9890562,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/52,True,MTGE,2014-09-16T00:00:00.000,1150598.35,7.85,186037.22,6.18,2014000330350,CR,218 WEST 40 STREET
1009930055.00000000,1441 BROADWAY,494868,1929,2017,0,2017,LECHAR 1441 LLC,,40.7549978,-73.9871685,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/993/55,True,MTGE,2021-08-13T00:00:00.000,56000000.00,113.16,628482.36,89.1,2021000361352,OF,1441 BROADWAY
1007890030.00000000,205 WEST 39 STREET,229162,1922,1952,0,1952,205 WEST 39TH ST COMPANY,,40.7547098,-73.9888216,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/30,True,MTGE,2013-12-13T00:00:00.000,4000000,17.45,291035.74,13.74,2013000522175,CR,205 WEST 39 STREET
1010130042.00000000,221 WEST 41 STREET,235300,1921,1999,2019,2019,YS 220W42 OWNER LLC,,40.7561726,-73.9881573,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1013/42,True,MTGE,2022-09-09T00:00:00.000,60000000.00,254.99,298831.0,200.78,2022000363387,CR,221 WEST 41 STREET
1010120015.00000000,230 WEST 41 STREET,268420,1923,0,0,0,"230 WEST 41ST STREET, LLC",,40.7555442,-73.9889190,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1012/15,True,MTGE,2024-05-13T00:00:00.000,13353381.34,49.75,340893.4,39.17,2024000136422,CR,230 WEST 41 STREET
1010140055.00000000,250 WEST 43 STREET,238818,1929,2016,0,2016,250 WEST 43 OWNER LLC,,40.7573282,-73.9885000,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1014/55,True,DEED,2015-01-22T00:00:00.000,191850000,803.33,303298.86,632.54,2015000035391,CR,250 WEST 43 STREET
1007830070.00000000,250 WEST 34 STREET,2689635,1972,0,0,0,KORPENN LLC,,40.7512626,-73.9923737,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/783/70,True,MTGE,2008-09-04T00:00:00.000,261692.49,0.1,3415836.45,0.08,2008000375021,OT,250 WEST 34 STREET
1007800036.00000000,370 7 AVENUE,332383,1921,0,0,0,"370 SEVENTH AVENUE FEE OWNER, LLC",,40.7489104,-73.9925544,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/780/36,True,MTGE,2025-05-23T00:00:00.000,1500000,4.51,422126.41,3.55,2025000150229,CR,370 7 AVENUE
