bbl,address,building_area_sqft,year_built,year_alter1,year_alter2,last_known_alteration,num_floors,rentable_sqft,avg_rentable_sqft_per_floor,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_date,document_amount,finance_amount_per_gross_sqft,finance_amount_per_rentable_sqft,document_crfn,property_type,street_address
1007310001.00000000,460 WEST 34 STREET,538520,1927,0,0,0,19,683920.4,35995.81,601W TENTH OWNER LLC,,40.7540516,-73.9989785,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/731/1,True,DEED,2020-12-18T00:00:00.000,809912583.37,1503.96,1184.22,2021000016465,CR,460 WEST 34 STREET
1007290163.00000000,424 WEST 33 STREET,178460,1913,0,0,0,13,226644.2,17434.17,BOP NW LOFT LLC,,40.7530442,-73.9981412,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/729/163,True,MTGE,2005-05-10T00:00:00.000,17000000,95.26,75.01,2005000328631,OF,424 WEST 33 STREET
1007540078.00000000,362 9 AVENUE,338962,1931,1989,2015,2015,16,430481.74,26905.11,TEACHERS INSURANCE AND ANNUITY ASSOC. OF  AMERICA,,40.7510872,-73.9973256,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/754/78,True,DEED,2014-11-18T00:00:00.000,244000000,719.84,566.81,2014000390485,CR,362 9 AVENUE
1007570054.00000000,330 WEST 34 STREET,646464,1926,1984,2014,2014,18,821009.28,45611.63,330 WEST 34TH OWNER LLC,,40.7525968,-73.9955064,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/757/54,True,MTGE,2022-08-18T00:00:00.000,49850000.00,77.11,60.72,2022000380164,CR,330 WEST 34 STREET
1007680050.00000000,220 WEST 19 STREET,115433,1910,1985,2008,2008,12,146599.91,12216.66,RED CIRCLE N.Y. CORP,,40.7418594,-73.9985204,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/768/50,True,DEED,2006-08-09T00:00:00.000,51712500,447.99,352.75,2006000613331,OF,220 WEST 19 STREET
1007950028.00000000,111 WEST 19 STREET,165513,1901,2003,2015,2015,8,210201.51,26275.19,19TH STREET OWNER LLC,,40.7410770,-73.9951969,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/795/28,True,MTGE,2015-12-18T00:00:00.000,10000000,60.42,47.57,2016000004587,OT,111 WEST 19 STREET
1008000025.00000000,119 WEST 24 STREET,130876,1913,2015,1998,2015,12,166212.52,13851.04,"119 WEST 24TH STREET PROPERTIES, LLC",,40.7441922,-73.9932009,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/800/25,True,MTGE,2016-09-21T00:00:00.000,50220000,383.72,302.14,2016000334079,CR,119 WEST 24 STREET
1008010024.00000000,119 WEST 25 STREET,128947,1906,1989,2016,2016,12,163762.69,13646.89,"AFIAA 125 WEST 25TH STREET, LLC",,40.7448043,-73.9927606,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/801/24,True,DEED,2016-12-16T00:00:00.000,150000000,1163.27,915.96,2016000454749,CR,119 WEST 25 STREET
1008010001.00000000,275 7 AVENUE,548680,1928,1985,0,1985,27,696823.6,25808.28,275 SEVENTH AVENUE BUILDING LLC,,40.7455454,-73.9941608,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/801/1,True,MTGE,2020-02-18T00:00:00.000,50000000.00,91.13,71.75,2020000068920,CR,275 7 AVENUE
1008037502.00000000,301 7 AVENUE,119248,1920,0,0,0,21,151444.96,7211.66,"NEWMARK,KNIGHT & FRANK",,40.7466433,-73.9933775,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/803/7502,False,,,,0.0,0.0,,,301 7 AVENUE
1008020075.00000000,158 WEST 27 STREET,108000,1913,1989,2008,2008,12,137160.0,11430.0,"AFIAA 158 WEST 27TH STREET, LLC",,40.7461794,-73.9933379,5,105,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/802/75,True,MTGE,2019-10-24T00:00:00.000,50000000.00,462.96,364.54,2019000354140,CR,158 WEST 27 STREET
1007850037.00000000,462 7 AVENUE,189734,1925,0,0,0,23,240962.18,10476.62,S I K ASSOCIATES,,40.7519624,-73.9903344,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/37,True,MTGE,2021-05-26T00:00:00.000,4930557.43,25.99,20.46,2021000227755,OF,462 7 AVENUE
1008177502.00000000,100 5 AVENUE,250671,1906,1979,0,1979,19,318352.17,16755.38,UNAVAILABLE OWNER,,40.7370504,-73.9933135,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/817/7502,False,,,,0.0,0.0,,,100 5 AVENUE
1008227507.00000000,160 FIFTH AVENUE,111163,1900,2013,0,2013,9,141177.01,15686.33,RFL 160 FIFTH LLC,,40.7402396,-73.9910289,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/822/7507,False,,,,0.0,0.0,,,160 FIFTH AVENUE
1008207505.00000000,620 AVENUE OF THE AMER,684465,1900,2012,0,2012,7,869270.55,124181.51,UNAVAILABLE OWNER,,40.7397622,-73.9939051,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/820/7505,False,,,,0.0,0.0,,,620 AVENUE OF THE AMER
1008187501.00000000,590 AVENUE OF THE AMER,144461,1988,0,0,0,16,183465.47,11466.59,UNAVAILABLE OWNER,,40.7389004,-73.9951826,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/818/7501,False,,,,0.0,0.0,,,590 AVENUE OF THE AMER
1008237506.00000000,162 5 AVENUE,114503,1930,0,0,0,12,145418.81,12118.23,UNAVAILABLE OWNER,,40.7405855,-73.9908088,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/823/7506,False,,,,0.0,0.0,,,162 5 AVENUE
1008307502.00000000,250 FIFTH AVENUE,118664,1908,2018,2018,2018,23,150703.28,6552.32,COSMIC REALTY PARTNERS LLC,,40.7450207,-73.9876071,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/830/7502,False,,,,0.0,0.0,,,250 FIFTH AVENUE
1007407502.00000000,346 WEST 17 STREET,183484,1966,0,0,0,12,233024.68,19418.72,UNAVAILABLE OWNER,,40.7422930,-74.0034283,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/740/7502,False,,,,0.0,0.0,,,346 WEST 17 STREET
1007187502.00000000,180 10 AVENUE,106206,1931,0,0,0,8,134881.62,16860.2,UNAVAILABLE OWNER,,40.7459709,-74.0048973,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/718/7502,False,,,,0.0,0.0,,,180 10 AVENUE
1008087501.00000000,401 7 AVENUE,152460,1917,0,0,0,23,193624.2,8418.44,GRAPSTEIN,,40.7496925,-73.9905585,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/808/7501,False,,,,0.0,0.0,,,401 7 AVENUE
1008097501.00000000,132 WEST 32 STREET,114415,1960,0,0,0,18,145307.05,8072.61,UNAVAILABLE OWNER,,40.7499697,-73.9896778,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/809/7501,False,,,,0.0,0.0,,,132 WEST 32 STREET
1008127501.00000000,481 7 AVENUE,230246,1906,1991,0,1991,17,292412.42,17200.73,UNAVAILABLE OWNER,,40.7522807,-73.9891361,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/7501,False,,,,0.0,0.0,,,481 7 AVENUE
1008117502.00000000,1333 BROADWAY,276762,1915,0,0,0,12,351487.74,29290.65,"ESRT 1333 BROADWAY, L.L.C.",,40.7511690,-73.9881365,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/7502,False,,,,0.0,0.0,,,1333 BROADWAY
1008117501.00000000,469 7 AVENUE,193534,1921,0,0,0,16,245788.18,15361.76,UNAVAILABLE OWNER,,40.7519349,-73.9894501,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/7501,False,,,,0.0,0.0,,,469 7 AVENUE
1007887501.00000000,214 WEST 39 STREET,172608,1910,0,0,0,12,219212.16,18267.68,UNAVAILABLE OWNER,,40.7543201,-73.9893631,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/7501,False,,,,0.0,0.0,,,214 WEST 39 STREET
1010127502.00000000,200 WEST 41 STREET,150338,1926,0,0,0,21,190929.26,9091.87,UNAVAILABLE OWNER,,40.7553437,-73.9878614,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1012/7502,False,,,,0.0,0.0,,,200 WEST 41 STREET
1010167501.00000000,700 8 AVENUE,487156,1961,0,0,0,30,618688.12,20622.94,UNAVAILABLE OWNER,,40.7587088,-73.9883084,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1016/7501,False,,,,0.0,0.0,,,700 8 AVENUE
1010347501.00000000,311 WEST 43RD ST,150110,1925,2013,0,2013,14,190639.7,13617.12,"DWF V 311 W 43RD, LLC",,40.7584482,-73.9899978,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1034/7501,False,,,,0.0,0.0,,,311 WEST 43RD ST
1010207501.00000000,790 8 AVENUE,238667,1962,0,0,0,14,303107.09,21650.51,UNAVAILABLE OWNER,,40.7612283,-73.9865103,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1020/7501,False,,,,0.0,0.0,,,790 8 AVENUE
1010197502.00000000,1585 BROADWAY,1028336,1987,0,0,0,42,1305986.72,31094.92,MS FINANCING INC,,40.7599766,-73.9855071,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1019/7502,False,,,,0.0,0.0,,,1585 BROADWAY
1010197501.00000000,2 TIMES SQUARE,229188,1990,0,0,0,25,291068.76,11642.75,SHERWOOD 48 ASSOC                  JEFFR EY KATZ,,40.7596718,-73.9846588,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1019/7501,False,,,,0.0,0.0,,,2 TIMES SQUARE
1010477502.00000000,959 8 AVENUE,703796,1928,2003,0,2003,6,893820.92,148970.15,UNAVAILABLE OWNER,,40.7665582,-73.9836140,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1047/7502,False,,,,0.0,0.0,,,959 8 AVENUE
1010487502.00000000,353 WEST 57 STREET,461930,1929,1980,1999,1999,24,586651.1,24443.8,HENRY HUDSON HOLDINGS CORP,,40.7680597,-73.9849818,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1048/7502,False,,,,0.0,0.0,,,353 WEST 57 STREET
1006887501.00000000,99 10 AVENUE,708000,1917,0,0,0,11,899160.0,81741.82,NAME NOT ON FILE,,40.7440549,-74.0076940,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/688/7501,False,,,,0.0,0.0,,,99 10 AVENUE
1006937503.00000000,510 WEST 22ND STREET,129231,1920,0,0,0,11,164123.37,14920.31,"510 WEST 22ND STREET OWNER, LLC",,40.7470194,-74.0056986,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/693/7503,False,,,,0.0,0.0,,,510 WEST 22ND STREET
1010777502.00000000,514 WEST 49TH STREET,102164,1920,0,0,0,4,129748.28,32437.07,THE AMERICAN NATIONA,X,40.7644183,-73.9936934,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1077/7502,False,,,,0.0,0.0,,,514 WEST 49TH STREET
1011027501.00000000,787 11TH AVE,369656,1929,2003,2016,2016,10,469463.12,46946.31,"GEORGETOWN ELEVENTH AVENUE OWNERS, LLC",,40.7689086,-73.9930901,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1102/7501,False,,,,0.0,0.0,,,787 11TH AVE
1010867501.00000000,521 WEST 57 STREET,332376,1927,1988,0,1988,10,422117.52,42211.75,UNAVAILABLE OWNER,,40.7699569,-73.9895592,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1086/7501,False,,,,0.0,0.0,,,521 WEST 57 STREET
1007627503.00000000,307 WEST 38TH STREET,225464,1927,0,0,0,20,286339.28,14316.96,GLENHILL ASSOCIATES LLC,,40.7552288,-73.9921639,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/762/7503,False,,,,0.0,0.0,,,307 WEST 38TH STREET
1010747501.00000000,535 WEST 45 STREET,130400,1930,0,0,0,11,165608.0,15055.27,UNAVAILABLE OWNER,,40.7625190,-73.9957873,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1074/7501,False,,,,0.0,0.0,,,535 WEST 45 STREET
1007587501.00000000,333 WEST 34 STREET,286520,1954,1983,0,1983,10,363880.4,36388.04,UNAVAILABLE OWNER,,40.7532911,-73.9948928,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/758/7501,False,,,,0.0,0.0,,,333 WEST 34 STREET
1007327501.00000000,441 NINTH AVENUE,512974,1962,2015,2017,2017,26,651476.98,25056.81,"CBP 441 NINTH AVENUE OWNER, LLC",,40.7539335,-73.9965133,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/732/7501,False,,,,0.0,0.0,,,441 NINTH AVENUE
1005067501.00000000,160 VARICK STREET,311477,1927,0,0,0,12,395575.79,32964.65,UNAVAILABLE OWNER,,40.7269168,-74.0052206,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/506/7501,False,,,,0.0,0.0,,,160 VARICK STREET
1005207503.00000000,200 VARICK STREET,390466,1926,2008,0,2008,12,495891.82,41324.32,200 VARICK STREET DE LLC,,40.7282535,-74.0047914,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/520/7503,False,,,,0.0,0.0,,,200 VARICK STREET
1005807501.00000000,330 HUDSON STREET,351759,1910,2008,2008,2008,0,446733.93,0.0,UNAVAILABLE OWNER,,40.7269195,-74.0069164,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/7501,False,,,,0.0,0.0,,,330 HUDSON STREET
1006467502.00000000,450 WEST 14 STREET,103878,1934,0,0,0,15,131925.06,8795.0,UNAVAILABLE OWNER,,40.7416752,-74.0078309,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/646/7502,False,,,,0.0,0.0,,,450 WEST 14 STREET
1006007501.00000000,395 HUDSON STREET,579930,1921,0,0,0,9,736511.1,81834.57,UNAVAILABLE OWNER,,40.7292031,-74.0077753,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/600/7501,False,,,,0.0,0.0,,,395 HUDSON STREET
1007297507.00000000,450 WEST 33RD STREET,1438273,1969,0,0,0,14,1826606.71,130471.91,450 PARTNERS LLC,,40.7530442,-73.9994478,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/729/7507,False,,,,0.0,0.0,,,450 WEST 33RD STREET
1007757501.00000000,217 WEST 25 STREET,109490,1912,0,0,0,12,139052.3,11587.69,ARADCO LTD,,40.7458584,-73.9952579,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/775/7501,False,,,,0.0,0.0,,,217 WEST 25 STREET
1010180018.00000000,219 WEST 46 STREET,399325,1930,0,0,0,22,507142.75,23051.94,"EDISON MANAGEMENT CO., L.L.C.",,40.7595787,-73.9862832,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1018/18,True,MTGE,2015-04-23T00:00:00.000,20000000,50.08,39.44,2015000150506,OT,219 WEST 46 STREET
1010190055.00000000,234 WEST 48 STREET,117102,1927,1989,0,1989,16,148719.54,9294.97,234 WEST 48 LLC,,40.7605284,-73.9863877,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1019/55,True,MTGE,2013-10-18T00:00:00.000,13200000,112.72,88.76,2013000449986,CR,234 WEST 48 STREET
1010210026.00000000,750 7 AVENUE,561139,1988,0,0,0,34,712646.53,20960.19,750 SEVENTH AVE NY LLC,,40.7608848,-73.9839114,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1021/26,True,DEED,2011-05-03T00:00:00.000,485000000,864.31,680.56,2011000170733,OF,750 7 AVENUE
1010390017.00000000,319 WEST 48 STREET,186954,1961,1989,0,1989,16,237431.58,14839.47,319 BELVEDERE REALTYCO,,40.7617472,-73.9879361,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1039/17,True,MTGE,2020-02-13T00:00:00.000,3979460.71,21.29,16.76,2020000067087,OT,319 WEST 48 STREET
1010400029.00000000,825 8 AVENUE,1596521,1987,0,0,0,49,2027581.67,41379.22,"WWP OFFICE, LLC",,40.7622302,-73.9869433,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1040/29,True,MTGE,2013-02-25T00:00:00.000,240000000,150.33,118.37,2013000138769,OF,825 8 AVENUE
1008310042.00000000,276 5 AVENUE,133300,1920,0,0,0,11,169291.0,15390.09,"MK 276, LLC",,40.7459017,-73.9869140,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/831/42,True,DEED,2025-04-29T00:00:00.000,62023351.19,465.29,366.37,2025000125305,CR,276 5 AVENUE
1007130001.00000000,75 9 AVENUE,1100533,1905,2014,2015,2015,8,1397676.91,174709.61,MANHATTAN CHELSEA MARKET LLC,P,40.7425509,-74.0060555,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/713/1,True,DEED,2018-03-20T00:00:00.000,2397501899,2178.49,1715.35,2018000097639,CR,75 9 AVENUE
1007120001.00000000,444 WEST 15 STREET,281361,1936,1971,2012,2012,8,357328.47,44666.06,BLACK LARK ENTERPRISES LLC,,40.7422407,-74.0072608,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/712/1,True,DEED,2019-05-22T00:00:00.000,591800000.00,2103.35,1656.18,2019000168995,OF,444 WEST 15 STREET
1008030007.00000000,153 WEST 27 STREET,115925,1912,1989,0,1989,12,147224.75,12268.73,JUSTIN PROPERTIES,,40.7465335,-73.9930311,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/803/7,True,MTGE,2022-03-11T00:00:00.000,3000000.00,25.88,20.38,2022000121089,CR,153 WEST 27 STREET
1008040044.00000000,104 WEST 29 STREET,121579,1923,2003,0,2003,12,154405.33,12867.11,104 WEST 29 ST CO,,40.7467200,-73.9907971,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/804/44,True,MTGE,2024-05-09T00:00:00.000,10990000,90.39,71.18,2024000125207,CR,104 WEST 29 STREET
1006980001.00000000,244 11 AVENUE,154433,1912,1983,0,1983,7,196129.91,28018.56,CIRCLE 1 LLC,P,40.7509417,-74.0049446,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/698/1,True,MTGE,2015-12-22T00:00:00.000,2173423.1,14.07,11.08,2016000012196,OF,244 11 AVENUE
1008070028.00000000,119 WEST 31 STREET,221227,1912,1982,0,1982,16,280958.29,17559.89,116 WEST 32ND I LLC,,40.7485891,-73.9898549,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/807/28,True,MTGE,2016-11-04T00:00:00.000,40000000,180.81,142.37,2017000001416,OF,119 WEST 31 STREET
1008070039.00000000,875 AVENUE OF THE AMER,214349,1926,0,0,0,25,272223.23,10888.93,BCSP-K 875 PROPERTY LLC,,40.7482130,-73.9893460,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/807/39,True,DEED,2023-06-30T00:00:00.000,92500000.00,431.54,339.79,2023000172945,CR,875 AVENUE OF THE AMER
1007840064.00000000,240 WEST 35 STREET,145372,1924,0,0,0,17,184622.44,10860.14,240 WEST 35TH OWNER LLC,,40.7521409,-73.9918539,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/64,True,DEED,2024-06-26T00:00:00.000,30000000,206.37,162.49,2024000172759,CR,240 WEST 35 STREET
1007850018.00000000,237 WEST 35 STREET,144141,1924,0,2015,2015,17,183059.07,10768.18,35TH STREET ASSOCIATES,,40.7524593,-73.9914640,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/18,True,MTGE,,6000000,41.63,32.78,,PA,237 WEST 35 STREET
1008150001.00000000,1411 BROADWAY,1088074,1969,2016,0,2016,42,1381853.98,32901.29,1411 IC-SIC PROPERTY LLC,,40.7541936,-73.9875657,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/815/1,True,MTGE,2020-02-28T00:00:00.000,35000000.00,32.17,25.33,2020000084010,CR,1411 BROADWAY
1008140015.00000000,1407 BROADWAY,911896,1950,2017,0,2017,43,1158107.92,26932.74,1407 BROADWAY,,40.7535322,-73.9877679,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/814/15,True,MTGE,2019-11-01T00:00:00.000,64000000.00,70.18,55.26,2019000370481,CR,1407 BROADWAY
1007880049.00000000,530 7 AVENUE,408130,1929,0,0,0,30,518325.1,17277.5,RS REALTY SPE 530 LLC,,40.7541032,-73.9888723,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/49,True,MTGE,2021-02-26T00:00:00.000,25000000.00,61.25,48.23,2021000113158,CR,530 7 AVENUE
1007880037.00000000,209 WEST 38 STREET,144635,1910,1974,0,1974,12,183686.45,15307.2,209-219 W. 38 LLC,,40.7539660,-73.9892766,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/37,True,MTGE,2021-07-16T00:00:00.000,216098.50,1.49,1.18,2021000288411,OF,209 WEST 38 STREET
1010350017.00000000,315 WEST 44 STREET,181021,1931,1990,2017,2017,10,229896.67,22989.67,PLANT REALTY LLC,,40.7592249,-73.9897919,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1035/17,True,DEED,2024-09-19T00:00:00.000,40500000,223.73,176.17,2024000248473,CR,315 WEST 44 STREET
