bbl,address,building_area_sqft,year_built,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_category,document_date,document_amount,document_crfn,document_party,document_id,property_type,street_address
1007850018.00000000,237 WEST 35 STREET,144141,1924,35TH STREET ASSOCIATES,,40.7524593,-73.9914640,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/18,True,MTGE,Mortgage,,6000000,,Document ID: FT_1630007451963,FT_1630007451963,PA,237 WEST 35 STREET
1008150001.00000000,1411 BROADWAY,1088074,1969,1411 IC-SIC PROPERTY LLC,,40.7541936,-73.9875657,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/815/1,True,MTGE,Mortgage,,125914767.08,,Document ID: FT_1920005570292,FT_1920005570292,PA,1411 BROADWAY
1008140015.00000000,1407 BROADWAY,911896,1950,1407 BROADWAY,,40.7535322,-73.9877679,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/814/15,True,MTGE,Mortgage,,3500000,,Document ID: FT_1590000059359,FT_1590000059359,PA,1407 BROADWAY
1007880049.00000000,530 7 AVENUE,408130,1929,RS REALTY SPE 530 LLC,,40.7541032,-73.9888723,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/49,True,MTGE,Mortgage,,839947.83,,Document ID: FT_1810007878481,FT_1810007878481,PA,530 7 AVENUE
1007880037.00000000,209 WEST 38 STREET,144635,1910,209-219 W. 38 LLC,,40.7539660,-73.9892766,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/37,True,MTGE,Mortgage,,151961.81,,Document ID: FT_1960005907796,FT_1960005907796,PA,209 WEST 38 STREET
1010350017.00000000,315 WEST 44 STREET,181021,1931,PLANT REALTY LLC,,40.7592249,-73.9897919,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1035/17,True,MTGE,Mortgage,,6000000,,Document ID: FT_1970000318097,FT_1970000318097,PA,315 WEST 44 STREET
1010200046.00000000,1601 BROADWAY,843131,1987,EGL 1605 OWNER LLC,,40.7606188,-73.9850774,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1020/46,True,MTGE,Mortgage,,28891262.24,,Document ID: FT_1980000083498,FT_1980000083498,PA,1601 BROADWAY
1010230018.00000000,1651 BROADWAY,325216,1929,"M&C NEW YORK TIMES SQUARE EAT II, LLC",,40.7625179,-73.9837485,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1023/18,True,MTGE,Mortgage,,9355000,,Document ID: FT_1850000233985,FT_1850000233985,PA,1651 BROADWAY
1010480033.00000000,4 COLUMBUS CIRCLE,102720,1987,"GLL BVK COLUMBUS CIRCLE, LLC",,40.7673568,-73.9829062,5,104,6,"Hell's Kitchen, Community Board 4",True,True,False,https://zola.planning.nyc.gov/l/lot/1/1048/33,True,MTGE,Mortgage,,800000,,Document ID: FT_1960000096696,FT_1960000096696,PA,4 COLUMBUS CIRCLE
1010350001.00000000,630 9 AVENUE,236280,1929,"GSH ASSOCIATES, LLC",,40.7599140,-73.9911635,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1035/1,True,MTGE,Mortgage,2017-09-28T00:00:00.000,46254123.57,2017000398632,CRFN: 2017000398632,2017100200154005,OF,630 9 AVENUE
